,pdq_config,rmse
289,"[(1, 1, 2), (0, 0, 1, 12), 't']",5.265162684783963
290,"[(1, 0, 1), (1, 0, 1, 12), 'ct']",5.267605993483102
291,"[(0, 1, 2), (0, 0, 1, 12), 'ct']",5.268683262350651
292,"[(0, 1, 0), (0, 0, 2, 12), 't']",5.271149329112692
293,"[(1, 0, 2), (1, 0, 2, 12), 'c']",5.271818447883199
294,"[(1, 0, 1), (1, 0, 0, 12), 'c']",5.271943332674281
295,"[(1, 0, 0), (0, 0, 2, 12), 't']",5.276154451590568
296,"[(1, 1, 0), (2, 0, 1, 12), 'c']",5.276670025143957
297,"[(2, 1, 0), (1, 0, 1, 12), 'c']",5.281641794343536
298,"[(2, 0, 1), (0, 0, 1, 12), 'ct']",5.2946575665395965
299,"[(0, 1, 1), (1, 0, 0, 12), 'c']",5.298570219540724
300,"[(0, 1, 2), (1, 0, 0, 12), 'c']",5.30274567339623
301,"[(0, 0, 1), (0, 1, 0, 12), 'c']",5.3116470984133715
302,"[(2, 0, 2), (1, 0, 2, 12), 't']",5.3237212912103375
303,"[(2, 0, 0), (1, 0, 1, 12), 'c']",5.324029778913132
304,"[(0, 0, 0), (0, 1, 0, 12), 'ct']",5.331461009045568
305,"[(2, 1, 2), (0, 0, 0, 12), 'c']",5.338530527490271
306,"[(1, 1, 2), (0, 0, 1, 12), 'c']",5.353900709292727
307,"[(0, 1, 1), (0, 0, 1, 12), 'c']",5.360697522020215
308,"[(2, 0, 0), (1, 0, 1, 12), 'ct']",5.365364977760469
309,"[(0, 1, 2), (0, 0, 1, 12), 't']",5.367372908637259
310,"[(2, 0, 0), (1, 0, 1, 12), 't']",5.374459771088157
311,"[(0, 0, 1), (2, 1, 0, 12), 'c']",5.382454735883068
312,"[(0, 0, 1), (2, 1, 1, 12), 'c']",5.382454735883068
313,"[(2, 1, 1), (1, 0, 0, 12), 't']",5.397665303177509
314,"[(2, 0, 0), (0, 0, 1, 12), 't']",5.404532381670647
315,"[(0, 0, 1), (1, 0, 0, 12), 'ct']",5.422868635712182
316,"[(1, 1, 1), (0, 0, 1, 12), 'c']",5.429991882723578
317,"[(0, 1, 0), (1, 0, 0, 12), 'ct']",5.431405840339013
318,"[(1, 0, 1), (2, 0, 0, 12), 'c']",5.43303153609297
319,"[(0, 0, 2), (1, 0, 2, 12), 'ct']",5.441556373068995
320,"[(2, 0, 0), (1, 0, 0, 12), 't']",5.441660172336868
321,"[(1, 0, 1), (0, 0, 1, 12), 'ct']",5.4474170774122666
322,"[(2, 1, 1), (1, 0, 1, 12), 'ct']",5.452289854099932
323,"[(2, 1, 0), (2, 0, 2, 12), 'c']",5.46035384666254
324,"[(2, 0, 0), (1, 0, 0, 12), 'ct']",5.471834912478235
325,"[(1, 0, 2), (1, 0, 2, 12), 'ct']",5.478137155779251
326,"[(2, 1, 0), (1, 0, 1, 12), 'ct']",5.479085094605429
327,"[(1, 1, 2), (1, 0, 0, 12), 'ct']",5.485244533289873
328,"[(1, 1, 0), (2, 0, 0, 12), 'c']",5.507296018271079
329,"[(0, 1, 1), (1, 0, 1, 12), 'c']",5.513281836570464
