order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category
18081,2018-02-26,429.97,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
18081,2018-02-26,429.97,229.99,yes,0.0,fulfilled,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags
18076,2018-02-27,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18065,2018-03-01,,229.99,no,229.99,fulfilled,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags
18057,2018-03-03,62.27,49.99,yes,0.0,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
18056,2018-03-03,62.27,49.99,yes,0.0,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
18037,2018-03-06,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18039,2018-03-06,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18032,2018-03-08,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
18028,2018-03-08,164.22,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
18005,2018-03-12,249.99,249.99,yes,0.0,,Vertigo™ Electric Guitar (Grey),M80-VEG-GRY,1,Electric Guitar Cases & Gig Bags
18012,2018-03-11,65.41,49.99,yes,0.0,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
18023,2018-03-09,389.98,169.99,yes,0.0,fulfilled,Tour 2.0,M80-TOUR-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
18006,2018-03-12,,89.99,no,89.99,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
17999,2018-03-13,108.11,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
17996,2018-03-13,,169.99,no,169.99,fulfilled,Tour 2.0,M80-TOUR-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
17998,2018-03-13,131.75,149.99,no,0.0,fulfilled,Guitar Sleeve™,M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags
17977,2018-03-18,71.71,49.99,yes,0.0,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
17960,2018-03-19,,169.99,no,169.99,fulfilled,Tour 2.0,M80-TOUR-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
17959,2018-03-19,160.99,149.99,no,0.0,fulfilled,Guitar Sleeve™,M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags
17980,2018-03-17,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Guitar (Grey),M80-VEG-GRY,1,Electric Guitar Cases & Gig Bags
17951,2018-03-20,167.78,249.99,no,0.0,fulfilled,Vertigo™ Electric Bass,M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags
17950,2018-03-20,,89.99,no,89.99,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
18101,2018-02-22,246.66,229.99,yes,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
17939,2018-03-23,67.94,49.99,yes,0.0,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
18016,2018-03-11,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
17929,2018-03-25,,49.99,no,49.99,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
18021,2018-03-09,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
17935,2018-03-23,145.35,169.99,no,0.0,fulfilled,Tour 2.0,M80-TOUR-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
17937,2018-03-23,187.5,249.99,no,0.0,fulfilled,Vertigo™ Electric Bass,M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags
17936,2018-03-23,175.0,249.99,no,0.0,fulfilled,Vertigo™ Electric Bass,M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags
18048,2018-03-05,,229.99,no,229.99,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
18077,2018-02-27,,229.99,no,229.99,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags
17987,2018-03-15,,229.99,no,229.99,fulfilled,Single Electric Bass,M80-EB-BLK,1,Bass Guitar Cases & Gig Bags
17931,2018-03-25,187.5,249.99,no,0.0,fulfilled,Vertigo™ Electric Guitar (Grey),M80-VEG-GRY,1,Electric Guitar Cases & Gig Bags
17942,2018-03-22,62.24,49.99,yes,0.0,fulfilled,The Betty (Black-Short),M80-BTY-BLK-S,1,Guitar Straps
17886,2018-03-27,,249.99,no,249.99,fulfilled,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags
17888,2018-03-27,,49.99,no,49.99,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
17887,2018-03-27,284.99,229.99,no,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
17917,2018-03-26,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags
